team,season,role,position,shirt_number,full_name,country,is_overseas,birthdate
Real Madrid,2022/2023,Player,Defender,6.0,Nacho,Spain,0,1990-01-18
Real Madrid,2022/2023,Player,Forward,7.0,Eden Hazard,Belgium,1,1991-01-07
Real Madrid,2022/2023,Player,Midfielder,8.0,Toni Kroos,Germany,1,1990-01-04
Real Madrid,2022/2023,Player,Forward,9.0,Karim Benzema,France,1,1987-12-19
Real Madrid,2022/2023,Player,Midfielder,10.0,Luka Modrić,Croatia,1,1985-09-09
Real Madrid,2022/2023,Player,Forward,11.0,Marco Asensio,Spain,0,1996-01-21
Real Madrid,2022/2023,Player,Midfielder,12.0,Eduardo Camavinga,France,1,2002-11-10
Real Madrid,2022/2023,Player,Goalkeeper,13.0,Andriy Lunin,Ukraine,1,1999-02-11
Real Madrid,2022/2023,Player,Midfielder,15.0,Federico Valverde,Uruguay,1,1998-07-22
Real Madrid,2022/2023,Player,Defender,16.0,Álvaro Odriozola,Spain,0,1995-12-14
Real Madrid,2022/2023,Player,Forward,17.0,Lucas Vázquez,Spain,0,1991-07-01
Real Madrid,2022/2023,Player,Midfielder,18.0,Aurélien Tchouaméni,France,1,2000-01-27
Real Madrid,2022/2023,Player,Midfielder,19.0,Dani Ceballos,Spain,0,1996-08-07
Real Madrid,2022/2023,Player,Forward,20.0,Vinícius Júnior,Brazil,1,2000-07-12
Real Madrid,2022/2023,Player,Forward,21.0,Rodrygo,Brazil,1,2001-01-09
Real Madrid,2022/2023,Player,Defender,22.0,Antonio Rüdiger,Germany,1,1993-03-03
Real Madrid,2022/2023,Player,Defender,23.0,Ferland Mendy,France,1,1995-06-08
Real Madrid,2022/2023,Player,Forward,24.0,Mariano,Dom. Republic,1,1993-08-01
Real Madrid,2022/2023,Player,Goalkeeper,26.0,Luis López,Spain,0,2001-05-08
Real Madrid,2022/2023,Player,Goalkeeper,30.0,Lucas Cañizares,Spain,0,2002-05-10
Real Madrid,2022/2023,Player,Midfielder,31.0,Mario Martín,Spain,0,2004-03-05
Real Madrid,2022/2023,Player,Midfielder,32.0,Dotor,Spain,0,2001-03-15
Real Madrid,2022/2023,Player,Midfielder,33.0,Arribas,Spain,0,2001-09-30
Real Madrid,2022/2023,Player,Defender,37.0,Vinícius Tobías,Brazil,1,2004-02-23
Real Madrid,2022/2023,Player,Goalkeeper,38.0,Diego Piñeiro,Spain,0,2004-02-13
Real Madrid,2022/2023,Player,Forward,39.0,Álvaro Rodríguez,Spain,0,2004-07-14
Real Madrid,2022/2023,Player,Midfielder,40.0,Nico Paz,Spain,0,2004-09-08
Real Madrid,2022/2023,Player,Defender,41.0,Rafa Marín,Spain,0,2002-05-19
Real Madrid,2022/2023,Player,Defender,41.0,Marvel,Morocco,1,2003-01-07
Real Madrid,2022/2023,Staff,Ass. Manager,,Davide Ancelotti,Italy,1,1989-07-22
Real Madrid,2022/2023,Staff,Athletic Coach,,Giuseppe Bellistri,Italy,1,1987-07-28
Real Madrid,2022/2023,Staff,Athletic Coach,,Francesco Mauri,Italy,1,1988-11-04
Real Madrid,2022/2023,Staff,Chief Analyst,,Simone Montanaro,Italy,1,1972-05-20
Real Madrid,2022/2023,Staff,Game Analyst,,Valbuena,Spain,0,1975-04-23
Real Madrid,2022/2023,Staff,Goalkeeping Coach,,Lluís Llopis,Spain,0,1964-11-26
Real Madrid,2022/2023,Staff,Individual Coach,,Mino Fulco,Italy,1,1985-06-10
Real Madrid,2022/2023,Staff,Manager,,Carlo Ancelotti,Italy,1,1959-06-10
Real Madrid,2022/2023,Staff,Physical Coach,,Antonio Pintus,Italy,1,1962-09-26
Real Madrid,2022/2023,Staff,Physical Coach,,Javier Mallo Sainz,Spain,0,1976-12-13
Real Madrid,2022/2023,Staff,Physical Coach,,Sébastien Devillaz,France,1,1978-05-25
Real Madrid,2022/2023,Staff,Rehab Coach,,José Carlos Parrales,Spain,0,1980-01-03
Real Madrid,2021/2022,Player,Goalkeeper,1.0,Thibaut Courtois,Belgium,1,1992-05-11
Real Madrid,2021/2022,Player,Defender,2.0,Dani Carvajal,Spain,0,1992-01-11
Real Madrid,2021/2022,Player,Defender,3.0,Eder Militão,Brazil,1,1998-01-18
Real Madrid,2021/2022,Player,Defender,4.0,David Alaba,Austria,1,1992-06-24
Real Madrid,2021/2022,Player,Defender,5.0,Jesús Vallejo,Spain,0,1997-01-05
Real Madrid,2021/2022,Player,Defender,6.0,Nacho,Spain,0,1990-01-18
Real Madrid,2021/2022,Player,Forward,7.0,Eden Hazard,Belgium,1,1991-01-07
Real Madrid,2021/2022,Player,Midfielder,8.0,Toni Kroos,Germany,1,1990-01-04
Real Madrid,2021/2022,Player,Forward,9.0,Karim Benzema,France,1,1987-12-19
Real Madrid,2021/2022,Player,Midfielder,10.0,Luka Modrić,Croatia,1,1985-09-09
Real Madrid,2021/2022,Player,Forward,11.0,Marco Asensio,Spain,0,1996-01-21
Real Madrid,2021/2022,Player,Defender,12.0,Marcelo,Brazil,1,1988-05-12
Real Madrid,2021/2022,Player,Goalkeeper,13.0,Andriy Lunin,Ukraine,1,1999-02-11
Real Madrid,2021/2022,Player,Midfielder,14.0,Casemiro,Brazil,1,1992-02-23
Real Madrid,2021/2022,Player,Midfielder,15.0,Federico Valverde,Uruguay,1,1998-07-22
Real Madrid,2021/2022,Player,Forward,16.0,Luka Jović,Serbia,1,1997-12-23
Real Madrid,2021/2022,Player,Forward,17.0,Lucas Vázquez,Spain,0,1991-07-01
Real Madrid,2021/2022,Player,Forward,18.0,Gareth Bale,Wales,1,1989-07-16
Real Madrid,2021/2022,Player,Midfielder,19.0,Dani Ceballos,Spain,0,1996-08-07
Real Madrid,2021/2022,Player,Forward,20.0,Vinícius Júnior,Brazil,1,2000-07-12
Real Madrid,2021/2022,Player,Forward,21.0,Rodrygo,Brazil,1,2001-01-09
Real Madrid,2021/2022,Player,Midfielder,22.0,Isco,Spain,0,1992-04-21
Real Madrid,2021/2022,Player,Defender,23.0,Ferland Mendy,France,1,1995-06-08
Real Madrid,2021/2022,Player,Forward,24.0,Mariano,Dom. Republic,1,1993-08-01
Real Madrid,2021/2022,Player,Midfielder,25.0,Eduardo Camavinga,France,1,2002-11-10
Real Madrid,2021/2022,Player,Goalkeeper,26.0,Luis López,Spain,0,2001-05-08
Real Madrid,2021/2022,Player,Midfielder,27.0,Blanco,Spain,0,2000-07-23
Real Madrid,2021/2022,Player,Forward,29.0,Latasa,Spain,0,2001-03-23
Real Madrid,2021/2022,Player,Defender,34.0,Gila,Spain,0,2000-08-29
Real Madrid,2021/2022,Player,Defender,35.0,Miguel Gutiérrez,Spain,0,2001-07-27
Real Madrid,2021/2022,Player,Goalkeeper,40.0,Toni Fuidias,Spain,0,2001-04-15
Real Madrid,2021/2022,Player,Defender,41.0,Rafa Marín,Spain,0,2002-05-19
Real Madrid,2021/2022,Player,Defender,43.0,Santos,Spain,0,2001-01-03
Real Madrid,2021/2022,Player,Midfielder,44.0,Peter González,Spain,0,2002-07-25
Real Madrid,2021/2022,Player,Goalkeeper,45.0,Diego Piñeiro,Spain,0,2004-02-13
Real Madrid,2021/2022,Staff,Ass. Manager,,Abián Perdomo,Spain,0,1987-09-24
Real Madrid,2021/2022,Staff,Ass. Manager,,Davide Ancelotti,Italy,1,1989-07-22
Real Madrid,2021/2022,Staff,Athletic Coach,,Giuseppe Bellistri,Italy,1,1987-07-28
Real Madrid,2021/2022,Staff,Athletic Coach,,Francesco Mauri,Italy,1,1988-11-04
Real Madrid,2021/2022,Staff,Chief Analyst,,Simone Montanaro,Italy,1,1972-05-20
Real Madrid,2021/2022,Staff,Game Analyst,,Valbuena,Spain,0,1975-04-23
Real Madrid,2021/2022,Staff,Goalkeeping Coach,,Lluís Llopis,Spain,0,1964-11-26
Real Madrid,2021/2022,Staff,Individual Coach,,Mino Fulco,Italy,1,1985-06-10
Real Madrid,2021/2022,Staff,Manager,,Carlo Ancelotti,Italy,1,1959-06-10
Real Madrid,2021/2022,Staff,Physical Coach,,Antonio Pintus,Italy,1,1962-09-26
Real Madrid,2021/2022,Staff,Physical Coach,,Javier Mallo Sainz,Spain,0,1976-12-13
Real Madrid,2021/2022,Staff,Physical Coach,,Sébastien Devillaz,France,1,1978-05-25
Real Madrid,2021/2022,Staff,Rehab Coach,,José Carlos Parrales,Spain,0,1980-01-03
Real Madrid,2020/2021,Player,Goalkeeper,1.0,Thibaut Courtois,Belgium,1,1992-05-11
Real Madrid,2020/2021,Player,Defender,2.0,Dani Carvajal,Spain,0,1992-01-11
Real Madrid,2020/2021,Player,Defender,3.0,Eder Militão,Brazil,1,1998-01-18
Real Madrid,2020/2021,Player,Defender,4.0,Sergio Ramos,Spain,0,1986-03-30
Real Madrid,2020/2021,Player,Defender,5.0,Raphaël Varane,France,1,1993-04-25
Real Madrid,2020/2021,Player,Defender,6.0,Nacho,Spain,0,1990-01-18
Real Madrid,2020/2021,Player,Forward,7.0,Eden Hazard,Belgium,1,1991-01-07
Real Madrid,2020/2021,Player,Midfielder,8.0,Toni Kroos,Germany,1,1990-01-04
Real Madrid,2020/2021,Player,Forward,9.0,Karim Benzema,France,1,1987-12-19
Real Madrid,2020/2021,Player,Midfielder,10.0,Luka Modrić,Croatia,1,1985-09-09
Real Madrid,2020/2021,Player,Forward,11.0,Marco Asensio,Spain,0,1996-01-21
Real Madrid,2020/2021,Player,Defender,12.0,Marcelo,Brazil,1,1988-05-12
Real Madrid,2020/2021,Player,Goalkeeper,13.0,Andriy Lunin,Ukraine,1,1999-02-11
Real Madrid,2020/2021,Player,Midfielder,14.0,Casemiro,Brazil,1,1992-02-23
Real Madrid,2020/2021,Player,Midfielder,15.0,Federico Valverde,Uruguay,1,1998-07-22
Real Madrid,2020/2021,Player,Forward,17.0,Lucas Vázquez,Spain,0,1991-07-01
Real Madrid,2020/2021,Player,Defender,19.0,Álvaro Odriozola,Spain,0,1995-12-14
Real Madrid,2020/2021,Player,Forward,20.0,Vinícius Júnior,Brazil,1,2000-07-12
Real Madrid,2020/2021,Player,Midfielder,22.0,Isco,Spain,0,1992-04-21
Real Madrid,2020/2021,Player,Defender,23.0,Ferland Mendy,France,1,1995-06-08
Real Madrid,2020/2021,Player,Forward,24.0,Mariano,Dom. Republic,1,1993-08-01
Real Madrid,2020/2021,Player,Forward,25.0,Rodrygo,Brazil,1,2001-01-09
Real Madrid,2020/2021,Player,Goalkeeper,26.0,Altube,Spain,0,2000-02-22
Real Madrid,2020/2021,Player,Midfielder,27.0,Blanco,Spain,0,2000-07-23
Real Madrid,2020/2021,Player,Midfielder,28.0,Marvin,Spain,0,2000-07-03
Real Madrid,2020/2021,Player,Midfielder,30.0,Arribas,Spain,0,2001-09-30
Real Madrid,2020/2021,Player,Defender,32.0,Chust,Spain,0,2000-03-05
Real Madrid,2020/2021,Player,Goalkeeper,33.0,Luis López,Spain,0,2001-05-08
Real Madrid,2020/2021,Player,Forward,34.0,Hugo Duro,Spain,0,1999-11-10
Real Madrid,2020/2021,Player,Defender,35.0,Miguel Gutiérrez,Spain,0,2001-07-27
Real Madrid,2020/2021,Player,Defender,39.0,Pablo Ramón,Spain,0,2001-06-30
Real Madrid,2020/2021,Player,Defender,40.0,Santos,Spain,0,2001-01-03
Real Madrid,2020/2021,Player,Goalkeeper,42.0,Lucas Cañizares,Spain,0,2002-05-10
Real Madrid,2020/2021,Player,Forward,43.0,Óscar Aranda,Spain,0,2002-04-29
Real Madrid,2020/2021,Staff,Ass. Manager,,David Bettoni,France,1,1971-11-23
Real Madrid,2020/2021,Staff,Ass. Manager,,Hamidou Msaidie,France,1,
Real Madrid,2020/2021,Staff,Chief Analyst,,Valbuena,Spain,0,1975-04-23
Real Madrid,2020/2021,Staff,Goalkeeping Coach,,Roberto Vázquez,Spain,0,
Real Madrid,2020/2021,Staff,Manager,,Zinédine Zidane,France,1,1972-06-23
Real Madrid,2020/2021,Staff,Physical Coach,,Javier Mallo Sainz,Spain,0,1976-12-13
Real Madrid,2020/2021,Staff,Rehab Coach,,José Carlos Parrales,Spain,0,1980-01-03
Real Madrid,2019/2020,Player,Goalkeeper,1.0,Alphonse Aréola,France,1,1993-02-27
Real Madrid,2019/2020,Player,Defender,2.0,Dani Carvajal,Spain,0,1992-01-11
Real Madrid,2019/2020,Player,Defender,3.0,Eder Militão,Brazil,1,1998-01-18
Real Madrid,2019/2020,Player,Defender,4.0,Sergio Ramos,Spain,0,1986-03-30
Real Madrid,2019/2020,Player,Defender,5.0,Raphaël Varane,France,1,1993-04-25
Real Madrid,2019/2020,Player,Defender,6.0,Nacho,Spain,0,1990-01-18
Real Madrid,2019/2020,Player,Forward,7.0,Eden Hazard,Belgium,1,1991-01-07
Real Madrid,2019/2020,Player,Midfielder,8.0,Toni Kroos,Germany,1,1990-01-04
Real Madrid,2019/2020,Player,Forward,9.0,Karim Benzema,France,1,1987-12-19
Real Madrid,2019/2020,Player,Midfielder,10.0,Luka Modrić,Croatia,1,1985-09-09
Real Madrid,2019/2020,Player,Forward,11.0,Gareth Bale,Wales,1,1989-07-16
Real Madrid,2019/2020,Player,Defender,12.0,Marcelo,Brazil,1,1988-05-12
Real Madrid,2019/2020,Player,Goalkeeper,13.0,Thibaut Courtois,Belgium,1,1992-05-11
Real Madrid,2019/2020,Player,Midfielder,14.0,Casemiro,Brazil,1,1992-02-23
Real Madrid,2019/2020,Player,Midfielder,15.0,Federico Valverde,Uruguay,1,1998-07-22
Real Madrid,2019/2020,Player,Midfielder,16.0,James Rodríguez,Colombia,1,1991-07-12
Real Madrid,2019/2020,Player,Forward,17.0,Lucas Vázquez,Spain,0,1991-07-01
Real Madrid,2019/2020,Player,Forward,18.0,Luka Jović,Serbia,1,1997-12-23
Real Madrid,2019/2020,Player,Forward,20.0,Marco Asensio,Spain,0,1996-01-21
Real Madrid,2019/2020,Player,Midfielder,21.0,Brahim Díaz,Spain,0,1999-08-03
Real Madrid,2019/2020,Player,Midfielder,22.0,Isco,Spain,0,1992-04-21
Real Madrid,2019/2020,Player,Defender,23.0,Ferland Mendy,France,1,1995-06-08
Real Madrid,2019/2020,Player,Forward,24.0,Mariano,Dom. Republic,1,1993-08-01
Real Madrid,2019/2020,Player,Forward,25.0,Vinícius Júnior,Brazil,1,2000-07-12
Real Madrid,2019/2020,Player,Goalkeeper,26.0,Altube,Spain,0,2000-02-22
Real Madrid,2019/2020,Player,Forward,27.0,Rodrygo,Brazil,1,2001-01-09
Real Madrid,2019/2020,Player,Midfielder,30.0,Reinier,Brazil,1,2002-01-19
Real Madrid,2019/2020,Player,Defender,35.0,De la Fuente,Spain,0,1999-02-26
Real Madrid,2019/2020,Player,Defender,35.0,Miguel Gutiérrez,Spain,0,2001-07-27
Real Madrid,2019/2020,Player,Defender,39.0,Javi Hernández,Spain,0,1998-05-02
Real Madrid,2019/2020,Staff,Ass. Manager,,David Bettoni,France,1,1971-11-23
Real Madrid,2019/2020,Staff,Ass. Manager,,Hamidou Msaidie,France,1,
Real Madrid,2019/2020,Staff,Game Analyst,,Valbuena,Spain,0,1975-04-23
Real Madrid,2019/2020,Staff,Goalkeeping Coach,,Roberto Vázquez,Spain,0,
Real Madrid,2019/2020,Staff,Manager,,Zinédine Zidane,France,1,1972-06-23
Real Madrid,2019/2020,Staff,Physical Coach,,Javier Mallo Sainz,Spain,0,1976-12-13
Real Madrid,2019/2020,Staff,Rehab Coach,,José Carlos Parrales,Spain,0,1980-01-03
Real Madrid,2018/2019,Player,Goalkeeper,1.0,Keylor Navas,Costa Rica,1,1986-12-15
Real Madrid,2018/2019,Player,Defender,2.0,Dani Carvajal,Spain,0,1992-01-11
Real Madrid,2018/2019,Player,Defender,3.0,Jesús Vallejo,Spain,0,1997-01-05
Real Madrid,2018/2019,Player,Defender,4.0,Sergio Ramos,Spain,0,1986-03-30
Real Madrid,2018/2019,Player,Defender,5.0,Raphaël Varane,France,1,1993-04-25
Real Madrid,2018/2019,Player,Defender,6.0,Nacho,Spain,0,1990-01-18
Real Madrid,2018/2019,Player,Forward,7.0,Mariano,Dom. Republic,1,1993-08-01
Real Madrid,2018/2019,Player,Midfielder,8.0,Toni Kroos,Germany,1,1990-01-04
Real Madrid,2018/2019,Player,Forward,9.0,Karim Benzema,France,1,1987-12-19
Real Madrid,2018/2019,Player,Midfielder,10.0,Luka Modrić,Croatia,1,1985-09-09
Real Madrid,2018/2019,Player,Forward,11.0,Gareth Bale,Wales,1,1989-07-16
Real Madrid,2018/2019,Player,Defender,12.0,Marcelo,Brazil,1,1988-05-12
Real Madrid,2018/2019,Player,Midfielder,14.0,Casemiro,Brazil,1,1992-02-23
Real Madrid,2018/2019,Player,Midfielder,15.0,Federico Valverde,Uruguay,1,1998-07-22
Real Madrid,2018/2019,Player,Forward,17.0,Lucas Vázquez,Spain,0,1991-07-01
Real Madrid,2018/2019,Player,Midfielder,18.0,Marcos Llorente,Spain,0,1995-01-30
Real Madrid,2018/2019,Player,Defender,19.0,Álvaro Odriozola,Spain,0,1995-12-14
Real Madrid,2018/2019,Player,Forward,20.0,Marco Asensio,Spain,0,1996-01-21
Real Madrid,2018/2019,Player,Midfielder,21.0,Brahim Díaz,Spain,0,1999-08-03
Real Madrid,2018/2019,Player,Midfielder,22.0,Isco,Spain,0,1992-04-21
Real Madrid,2018/2019,Player,Defender,23.0,Reguilón,Spain,0,1996-12-16
Real Madrid,2018/2019,Player,Midfielder,24.0,Dani Ceballos,Spain,0,1996-08-07
Real Madrid,2018/2019,Player,Goalkeeper,25.0,Thibaut Courtois,Belgium,1,1992-05-11
Real Madrid,2018/2019,Player,Defender,26.0,De la Fuente,Spain,0,1999-02-26
Real Madrid,2018/2019,Player,Forward,27.0,Cristo,Spain,0,1997-10-24
Real Madrid,2018/2019,Player,Forward,28.0,Vinícius Júnior,Brazil,1,2000-07-12
Real Madrid,2018/2019,Player,Goalkeeper,30.0,Luca Zidane,France,1,1998-05-13
Real Madrid,2018/2019,Player,Defender,31.0,Javi Sánchez,Spain,0,1997-03-14
Real Madrid,2018/2019,Player,Midfielder,33.0,Seoane,Spain,0,1997-01-22
Real Madrid,2018/2019,Player,Midfielder,34.0,Francisco Feuillassier,Argentina,1,1998-05-12
Real Madrid,2018/2019,Player,Midfielder,36.0,Álvaro Fidalgo,Spain,0,1997-04-09
Real Madrid,2018/2019,Player,Midfielder,37.0,Fran García,Spain,0,1999-08-14
Real Madrid,2018/2019,Player,Midfielder,39.0,Jaume Grau,Spain,0,1997-05-05
Real Madrid,2018/2019,Staff,Ass. Manager,,David Bettoni,France,1,1971-11-23
Real Madrid,2018/2019,Staff,Ass. Manager,,Hamidou Msaidie,France,1,
Real Madrid,2018/2019,Staff,Athletic Coach,,Antonio Pintus,Italy,1,1962-09-26
Real Madrid,2018/2019,Staff,Game Analyst,,Valbuena,Spain,0,1975-04-23
Real Madrid,2018/2019,Player,Goalkeeper,,Altube,Spain,0,2000-02-22
Real Madrid,2018/2019,Staff,Goalkeeping Coach,,Lluís Llopis,Spain,0,1964-11-26
Real Madrid,2018/2019,Staff,Goalkeeping Coach,,Roberto Vázquez,Spain,0,
Real Madrid,2018/2019,Staff,Manager,,Zinédine Zidane,France,1,1972-06-23
Real Madrid,2018/2019,Staff,Physical Coach,,Javier Mallo Sainz,Spain,0,1976-12-13
Real Madrid,2018/2019,Staff,Rehab Coach,,José Carlos Parrales,Spain,0,1980-01-03
Real Madrid,2017/2018,Player,Goalkeeper,1.0,Keylor Navas,Costa Rica,1,1986-12-15
Real Madrid,2017/2018,Player,Defender,2.0,Dani Carvajal,Spain,0,1992-01-11
Real Madrid,2017/2018,Player,Defender,3.0,Jesús Vallejo,Spain,0,1997-01-05
Real Madrid,2017/2018,Player,Defender,4.0,Sergio Ramos,Spain,0,1986-03-30
Real Madrid,2017/2018,Player,Defender,5.0,Raphaël Varane,France,1,1993-04-25
Real Madrid,2017/2018,Player,Defender,6.0,Nacho,Spain,0,1990-01-18
Real Madrid,2017/2018,Player,Forward,7.0,Cristiano Ronaldo,Portugal,1,1985-02-05
Real Madrid,2017/2018,Player,Midfielder,8.0,Toni Kroos,Germany,1,1990-01-04
Real Madrid,2017/2018,Player,Forward,9.0,Karim Benzema,France,1,1987-12-19
Real Madrid,2017/2018,Player,Midfielder,10.0,Luka Modrić,Croatia,1,1985-09-09
Real Madrid,2017/2018,Player,Forward,11.0,Gareth Bale,Wales,1,1989-07-16
Real Madrid,2017/2018,Player,Defender,12.0,Marcelo,Brazil,1,1988-05-12
Real Madrid,2017/2018,Player,Goalkeeper,13.0,Kiko Casilla,Spain,0,1986-10-02
Real Madrid,2017/2018,Player,Midfielder,14.0,Casemiro,Brazil,1,1992-02-23
Real Madrid,2017/2018,Player,Defender,15.0,Theo Hernández,France,1,1997-10-06
Real Madrid,2017/2018,Player,Forward,17.0,Lucas Vázquez,Spain,0,1991-07-01
Real Madrid,2017/2018,Player,Midfielder,18.0,Marcos Llorente,Spain,0,1995-01-30
Real Madrid,2017/2018,Player,Defender,19.0,Achraf Hakimi,Morocco,1,1998-11-04
Real Madrid,2017/2018,Player,Forward,20.0,Marco Asensio,Spain,0,1996-01-21
Real Madrid,2017/2018,Player,Forward,21.0,Borja Mayoral,Spain,0,1997-04-05
Real Madrid,2017/2018,Player,Midfielder,22.0,Isco,Spain,0,1992-04-21
Real Madrid,2017/2018,Player,Midfielder,23.0,Mateo Kovačić,Croatia,1,1994-05-06
Real Madrid,2017/2018,Player,Midfielder,24.0,Dani Ceballos,Spain,0,1996-08-07
Real Madrid,2017/2018,Player,Defender,27.0,Álvaro Tejero,Spain,0,1996-07-20
Real Madrid,2017/2018,Player,Midfielder,29.0,Francisco Feuillassier,Argentina,1,1998-05-12
Real Madrid,2017/2018,Player,Goalkeeper,30.0,Luca Zidane,France,1,1998-05-13
Real Madrid,2017/2018,Player,Defender,31.0,Luismi Quezada,Dom. Republic,1,1996-02-11
Real Madrid,2017/2018,Player,Midfielder,32.0,Óscar,Spain,0,1998-06-28
Real Madrid,2017/2018,Player,Defender,33.0,Manu Hernando,Spain,0,1998-07-19
Real Madrid,2017/2018,Player,Goalkeeper,35.0,Moha Ramos,Spain,0,2000-04-13
Real Madrid,2017/2018,Player,Forward,37.0,Cristo,Spain,0,1997-10-24
